,index,East Asia and Pacific ,Europe and Central Asia ,Latin America and Caribbean ,Middle East and North Africa ,North America ,South Asia ,Sub-Saharan Africa 
0,1995,72690.5,419088.5,135514.0,104096.0,121946.0,3774.0,12281.2
1,1996,80943.9,528623.8,139532.0,103632.0,126585.0,3896.0,13813.4
2,1997,77895.3,560605.3,143178.0,104831.0,128163.0,4129.0,13909.8
3,1998,81209.8,488202.1,147958.0,100070.0,123389.0,4258.0,16023.6
4,1999,90213.7,505510.8,149712.0,105803.0,125400.0,4506.0,16860.8
5,2000,103898.0,528196.3,156726.0,117311.0,127519.0,4824.0,16969.1
6,2001,113812.5,519311.3,152073.0,109835.0,118579.0,4528.0,17742.7
7,2002,118001.3,523677.8,149518.0,107461.3,109814.0,4359.0,17095.2
8,2003,106480.2,563294.8,145232.0,106877.0,101467.0,5015.0,17500.0
9,2004,140642.3,723846.8,158221.0,123374.2,106929.0,6127.0,19238.6
10,2005,150791.7,760890.8,164778.0,128745.0,108162.0,6501.0,21933.8
11,2006,164024.6,775243.5,162514.3,245003.0,217203.0,7419.0,24518.3
12,2007,177136.6,787674.0,162762.4,244550.0,206333.0,8195.0,27103.8
13,2008,170016.6,788761.6,164516.3,248276.0,203623.0,8402.0,28725.5
14,2009,171948.1,765471.5,157991.3,229234.0,185758.0,8147.0,28690.2
15,2010,185083.5,780964.9,156795.5,240512.0,188476.0,9129.5,32245.0
16,2011,202110.5,832110.4,154574.3,214559.0,172989.0,10336.2,32002.7
17,2012,215986.8,853317.3,158293.3,239452.0,197558.0,10712.0,35369.0
18,2013,237904.5,896153.3,161607.7,245116.0,205053.0,10528.0,36475.0
19,2014,248749.6,910637.0,169916.8,247512.0,204449.0,17034.0,35967.9
20,2015,265210.7,921167.9,180884.8,250685.0,205017.0,17331.0,36849.6
21,2016,263826.8,950187.6,196016.9,245333.0,206045.0,19169.0,39899.9
22,2017,274769.8,1004660.8,204093.9,251075.0,206061.0,5069.0,40950.9
23,2018,293651.2,1044232.0,201703.0,252595.0,201365.0,5719.0,39896.4
24,2019,305615.60000000003,1077637.4,203363.0,256175.0,198712.0,23480.0,38698.9
25,2020,43762.2,423353.0,83944.0,65362.0,49911.0,7874.0,11530.7
26,2021,11614.28,503486.7,82846.0,95051.0,71141.0,8812.601,10406.1
27,2022,40311.44,634355.5,133918.0,123416.0,69343.0,3069.7,15926.0
